country;postcode;city;language
BG;1000;Sofia;BG
BG;1280;Novi Iskar;BG
BG;1320;Bankya;BG
BG;1830;Buhovo;BG
BG;2000;Samokov;BG
BG;2030;Kostenets;BG
BG;2040;Dolna banya;BG
BG;2050;Ihtiman;BG
BG;2070;Pirdop;BG
BG;2077;Koprivshtitsa;BG
BG;2080;Zlatitsa;BG
BG;2100;Elin Pelin;BG
BG;2110;Novi khan;BG
BG;2140;Botevgrad;BG
BG;2161;Pravets;BG
BG;2180;Etropole;BG
BG;2200;Slivnitsa;BG
BG;2210;Dragoman;BG
BG;2227;Bozhurishte;BG
BG;2230;Kostinbrod;BG
BG;2240;Godech;BG
BG;2260;Svoge;BG
BG;2300;Pernik;BG
BG;2340;Batanovtsi;BG
BG;2360;Breznik;BG
BG;2400;Radomir;BG
BG;2440;Zemen;BG
BG;2460;Tran;BG
BG;2500;Kyustendil;BG
BG;2600;Dupnitsa;BG
BG;2630;Rila;BG
BG;2640;Kocherinovo;BG
BG;2650;Sapareva banya;BG
BG;2660;Boboshevo;BG
BG;2670;Bobov dol;BG
BG;2700;Blagoevgrad;BG
BG;2730;Simitli;BG
BG;2760;Razlog;BG
BG;2770;Bansko;BG
BG;2780;Belitsa;BG
BG;2790;Yakoruda;BG
BG;2800;Sandanski;BG
BG;2820;Melnik;BG
BG;2840;Kresna;BG
BG;2850;Petrich;BG
BG;2900;Gotse Delchev;BG
BG;2933;Hadzhidimovo;BG
BG;3000;Vratsa;BG
BG;3060;Krivodol;BG
BG;3100;Mezdra;BG
BG;3130;Roman;BG
BG;3200;Byala Slatina;BG
BG;3300;Oryahovo;BG
BG;3320;Kozloduy;BG
BG;3330;Miziya;BG
BG;3400;Montana;BG
BG;3430;Boychinovtsi;BG
BG;3460;Chiprovtsi;BG
BG;3500;Berkovitsa;BG
BG;3540;Varshets;BG
BG;3600;Lom;BG
BG;3650;Valchedram;BG
BG;3680;Brusartsi;BG
BG;3700;Vidin;BG
BG;3740;Dunavtsi;BG
BG;3750;Dimovo;BG
BG;3790;Bregovo;BG
BG;3800;Kula;BG
BG;3830;Gramada;BG
BG;3900;Belogradchik;BG
BG;4000;Plovdiv;BG
BG;4122;Sadovo;BG
BG;4150;Rakovski;BG
BG;4160;Brezovo;BG
BG;4180;Hisarya;BG
BG;4190;Saedinenie;BG
BG;4210;Stamboliyski;BG
BG;4220;Krichim;BG
BG;4225;Perushtitsa;BG
BG;4230;Asenovgrad;BG
BG;4241;Laki (Plovdiv);BG
BG;4270;Parvomay;BG
BG;4300;Karlovo;BG
BG;4330;"Sopot; Bulgaria";BG
BG;4341;Klisura;BG
BG;4360;Banya;BG
BG;4370;Kalofer;BG
BG;4400;Pazardzhik;BG
BG;4470;Belovo;BG
BG;4480;Vetren;BG
BG;4490;Septemvri;BG
BG;4500;Panagyurishte;BG
BG;4530;Strelcha;BG
BG;4550;Peshtera;BG
BG;4579;Bratsigovo;BG
BG;4580;Batak;BG
BG;4600;Velingrad;BG
BG;4633;Sarnitsa;BG
BG;4640;Rakitovo;BG
BG;4644;Kostandovo;BG
BG;4700;Smolyan;BG
BG;4800;Devin;BG
BG;4831;Dospat;BG
BG;4850;Chepelare;BG
BG;4900;Madan;BG
BG;4960;Rudozem;BG
BG;4980;Zlatograd;BG
BG;4990;Nedelino;BG
BG;5000;Veliko Tarnovo;BG
BG;5030;Debelets;BG
BG;5050;Kilifarevo;BG
BG;5070;Elena;BG
BG;5090;Zlataritsa;BG
BG;5100;Gorna Oryahovitsa;BG
BG;5130;Dolna Oryahovitsa;BG
BG;5140;Lyaskovets;BG
BG;5150;Strazhitsa;BG
BG;5180;Polski Trambesh;BG
BG;5200;Pavlikeni;BG
BG;5220;Byala Cherkva;BG
BG;5240;Suhindol;BG
BG;5250;Svishtov;BG
BG;5300;Gabrovo;BG
BG;5350;Tryavna;BG
BG;5360;Plachkovtsi;BG
BG;5370;Dryanovo;BG
BG;5400;Sevlievo;BG
BG;5500;Lovech;BG
BG;5570;Letnitsa;BG
BG;5580;Ugarchin;BG
BG;5600;Troyan;BG
BG;5641;Apriltsi;BG
BG;5700;Teteven;BG
BG;5750;Yablanitsa;BG
BG;5770;Lukovit;BG
BG;5800;Pleven;BG
BG;5835;Knezha;BG
BG;5840;Slavyanovo;BG
BG;5855;Dolna Mitropoliya;BG
BG;5857;Trastenik;BG
BG;5868;Iskar;BG
BG;5870;Dolni Dabnik;BG
BG;5898;Pordim;BG
BG;5900;Levski;BG
BG;5930;Belene;BG
BG;5940;Nikopol;BG
BG;5960;Gulyantsi;BG
BG;5980;Cherven bryag;BG
BG;5986;Koynare;BG
BG;6000;Stara Zagora;BG
BG;6011;Zora;BG
BG;6100;Kazanlak;BG
BG;6150;Shipka;BG
BG;6155;Pavel Banya;BG
BG;6180;Maglizh;BG
BG;6190;Nikolaevo;BG
BG;6199;Gurkovo;BG
BG;6200;Chirpan;BG
BG;6260;Radnevo;BG
BG;6280;Galabovo;BG
BG;6300;Haskovo;BG
BG;6400;Dimitrovgrad;BG
BG;6430;Merichleri;BG
BG;6450;Harmanli;BG
BG;6480;Madzharovo;BG
BG;6490;Simeonovgrad;BG
BG;6500;Svilengrad;BG
BG;6550;Lyubimets;BG
BG;6560;Topolovgrad;BG
BG;6570;Ivaylovgrad;BG
BG;6600;Kardzhali;BG
BG;6750;Ardino;BG
BG;6800;Momchilgrad;BG
BG;6850;Dzhebel;BG
BG;6900;Krumovgrad;BG
BG;7000;Rousse;BG
BG;7060;Slivo pole;BG
BG;7080;Vetovo;BG
BG;7100;Byala (Ruse);BG
BG;7150;Dve mogili;BG
BG;7174;Borovo;BG
BG;7200;Razgrad;BG
BG;7271;Senovo;BG
BG;7280;Tsar Kaloyan;BG
BG;7290;Loznitsa;BG
BG;7294;Glodzhevo;BG
BG;7300;Kubrat;BG
BG;7330;Zavet;BG
BG;7400;Isperih;BG
BG;7500;Silistra;BG
BG;7570;Alfatar;BG
BG;7600;Tutrakan;BG
BG;7630;Glavinitsa;BG
BG;7650;Dulovo;BG
BG;7700;Targovishte;BG
