country;Code_postal;Nom_de_la_commune;country
FR;1400;L ABERGEMENT CLEMENCIAT;FR
FR;1640;L ABERGEMENT DE VAREY;FR
FR;1500;AMBERIEU EN BUGEY;FR
FR;1330;AMBERIEUX EN DOMBES;FR
FR;1300;AMBLEON;FR
FR;1500;AMBRONAY;FR
FR;1500;AMBUTRIX;FR
FR;1300;ANDERT ET CONDON;FR
FR;1350;ANGLEFORT;FR
FR;1100;APREMONT;FR
FR;1110;ARANC;FR
FR;1230;ARANDAS;FR
FR;1100;ARBENT;FR
FR;1300;ARBIGNIEU;FR
FR;1190;ARBIGNY;FR
FR;1230;ARGIS;FR
FR;1510;ARMIX;FR
FR;1480;ARS SUR FORMANS;FR
FR;1510;ARTEMARE;FR
FR;1570;ASNIERES SUR SAONE;FR
FR;1340;ATTIGNAT;FR
FR;1380;BAGE LA VILLE;FR
FR;1380;BAGE LE CHATEL;FR
FR;1360;BALAN;FR
FR;1990;BANEINS;FR
FR;1270;BEAUPONT;FR
FR;1480;BEAUREGARD;FR
FR;1100;BELLIGNAT;FR
FR;1360;BELIGNEUX;FR
FR;1200;BELLEGARDE SUR VALSERINE;FR
FR;1300;BELLEY;FR
FR;1130;BELLEYDOUX;FR
FR;1260;BELMONT LUTHEZIEU;FR
FR;1470;BENONCES;FR
FR;1370;BENY;FR
FR;1350;BEON;FR
FR;1340;BEREZIAT;FR
FR;1500;BETTANT;FR
FR;1290;BEY;FR
FR;1700;BEYNOST;FR
FR;1200;BILLIAT;FR
FR;1330;BIRIEUX;FR
FR;1290;BIZIAT;FR
FR;1150;BLYES;FR
FR;1120;LA BOISSE;FR
FR;1190;BOISSEY;FR
FR;1380;BOISSEY;FR
FR;1450;BOLOZON;FR
FR;1330;BOULIGNEUX;FR
FR;1000;BOURG EN BRESSE;FR
FR;1800;BOURG ST CHRISTOPHE;FR
FR;1640;BOYEUX ST JEROME;FR
FR;1190;BOZ;FR
FR;1300;BREGNIER CORDON;FR
FR;1260;BRENAZ;FR
FR;1110;BRENOD;FR
FR;1300;BRENS;FR
FR;1360;BRESSOLLES;FR
FR;1460;BRION;FR
FR;1470;BRIORD;FR
FR;1310;BUELLAS;FR
FR;1510;LA BURBANCHE;FR
FR;1430;CEIGNES;FR
FR;1450;CERDON;FR
FR;1240;CERTINES;FR
FR;1170;CESSY;FR
FR;1250;CEYZERIAT;FR
FR;1350;CEYZERIEU;FR
FR;1320;CHALAMONT;FR
FR;1480;CHALEINS;FR
FR;1230;CHALEY;FR
FR;1450;CHALLES LA MONTAGNE;FR
FR;1630;CHALLEX;FR
FR;1260;CHAMPAGNE EN VALROMEY;FR
FR;1110;CHAMPDOR;FR
FR;1410;CHAMPFROMIER;FR
FR;1420;CHANAY;FR
FR;1990;CHANEINS;FR
FR;1400;CHANOZ CHATENAY;FR
FR;1240;LA CHAPELLE DU CHATELARD;FR
FR;1130;CHARIX;FR
FR;1800;CHARNOZ SUR AIN;FR
FR;1500;CHATEAU GAILLARD;FR
FR;1320;CHATENAY;FR
