country;postcode;town;language
HR;10000;Zagreb;HR
HR;10010;Zagreb-Sloboština;HR
HR;10020;Zagreb-Novi Zagreb;HR
HR;10040;Zagreb-Dubrava;HR
HR;10090;Zagreb-Susedgrad;HR
HR;10110;Zagreb;HR
HR;10250;Lučko;HR
HR;10255;Gornji Stupnik;HR
HR;10257;Brezovica;HR
HR;10290;Zaprešić;HR
HR;10291;Prigorje Brdovečko;HR
HR;10292;Šenkovec;HR
HR;10295;Kupljenovo;HR
HR;10297;Jakovlje;HR
HR;10298;Donja Bistra;HR
HR;10310;Ivanić Grad;HR
HR;10314;Križ;HR
HR;10340;Vrbovec;HR
HR;10340;vrbovec;HR
HR;10342;Dubrava;HR
HR;10360;Sesvete;HR
HR;10361;Sesvete Kraljevec;HR
HR;10362;Kašina;HR
HR;10363;Belovar;HR
HR;10370;Dugo Selo;HR
HR;10380;Sveti Ivan Zelina;HR
HR;10410;Velika Gorica;HR
HR;10411;Orle;HR
HR;10412;Donja Lomnica;HR
HR;10413;Kravarsko;HR
HR;10414;Pokupsko;HR
HR;10430;Samobor;HR
HR;10431;Sveta Nedelja;HR
HR;10432;Bregana;HR
HR;10435;Sveti Martin pod Okićem;HR
HR;10436;Rakov Potok;HR
HR;10450;Jastrebarsko;HR
HR;10451;Pisarovina;HR
HR;10454;Krašić;HR
HR;20000;Dubrovnik;HR
HR;20205;Topolo;HR
HR;20207;Mlini;HR
HR;20210;Cavtat;HR
HR;20215;Gruda;HR
HR;20221;Koločep;HR
HR;20222;Lopud;HR
HR;20223;Šipanska Luka;HR
HR;20225;Babino Polje;HR
HR;20226;Goveđari;HR
HR;20230;Ston;HR
HR;20232;Slano;HR
HR;20235;Zaton Veliki;HR
HR;20236;Mokošica;HR
HR;20240;Trpanj;HR
HR;20243;Kuna;HR
HR;20244;Potomje;HR
HR;20246;Janjina;HR
HR;20247;Žuljana;HR
HR;20250;Orebić;HR
HR;20260;Korčula;HR
HR;20270;Vela Luka;HR
HR;20271;Blato;HR
HR;20274;Pupnat;HR
HR;20290;Lastovo;HR
HR;20340;Ploče;HR
HR;20350;Metković;HR
HR;20353;Mlinište;HR
HR;20355;Opuzen;HR
HR;21000;Split;HR
HR;21201;Prgomet;HR
HR;21202;Lećevica;HR
HR;21203;Donji Muć;HR
HR;21204;Dugopolje;HR
HR;21210;Solin;HR
HR;21212;Kaštel Sućurac;HR
HR;21214;Kaštel Kambelovac;HR
HR;21217;Kaštel Štafilić;HR
HR;21220;Trogir;HR
HR;21222;Marina;HR
HR;21225;Drvenik Veliki;HR
HR;21230;Sinj;HR
HR;21232;Dicmo;HR
HR;21233;Hrvace;HR
HR;21236;Vrlika;HR
HR;21238;Otok (Dalmacija);HR
HR;21240;Trilj;HR
HR;21250;Šestanovac;HR
HR;21256;Cista Provo;HR
HR;21260;Imotski;HR
HR;21270;Zagvozd;HR
HR;21275;Dragljane;HR
HR;21276;Vrgorac;HR
HR;21292;Srinjine;HR
HR;21300;Makarska;HR
HR;21310;Omiš;HR
HR;21311;Stobreč;HR
HR;21315;Dugi Rat;HR
HR;21320;Baška Voda;HR
HR;21327;Podgora;HR
HR;21334;Zaostrog;HR
HR;21400;Supetar;HR
HR;21405;Milna;HR
HR;21410;Postira;HR
HR;21412;Pučišća;HR
HR;21420;Bol;HR
HR;21425;Selca;HR
HR;21430;Grohote;HR
HR;21450;Hvar;HR
HR;21460;Stari Grad;HR
HR;21465;Jelsa;HR
