CODE;NUTS_3
10000;CZ010
10100;CZ010
10200;CZ010
10300;CZ010
10400;CZ010
10600;CZ010
10700;CZ010
10800;CZ010
10900;CZ010
11000;CZ010
11800;CZ010
11900;CZ010
12000;CZ010
12800;CZ010
13000;CZ010
14000;CZ010
14100;CZ010
14200;CZ010
14300;CZ010
14400;CZ010
14700;CZ010
14800;CZ010
14900;CZ010
14900;CZ020
15000;CZ010
15006;CZ010
15200;CZ010
15300;CZ010
15400;CZ010
15500;CZ010
15521;CZ010
15531;CZ010
15600;CZ010
15800;CZ010
15900;CZ010
16000;CZ010
16005;CZ010
16100;CZ010
16200;CZ010
16300;CZ010
16400;CZ010
16500;CZ010
16900;CZ010
17000;CZ010
17100;CZ010
18000;CZ010
18100;CZ010
18200;CZ010
18400;CZ010
18600;CZ010
19000;CZ010
19011;CZ010
19012;CZ010
19014;CZ010
19015;CZ010
19016;CZ010
19017;CZ010
19300;CZ010
19600;CZ010
19700;CZ010
19800;CZ010
19900;CZ010
25001;CZ020
25063;CZ020
25064;CZ020
25065;CZ020
25066;CZ020
25067;CZ020
25068;CZ020
25069;CZ020
25070;CZ020
25072;CZ020
25073;CZ020
25074;CZ020
25075;CZ020
25081;CZ020
25082;CZ020
25083;CZ020
25084;CZ020
25087;CZ020
25088;CZ020
25089;CZ020
25090;CZ020
25091;CZ020
25092;CZ020
25101;CZ020
25162;CZ020
25163;CZ020
25164;CZ020
25165;CZ020
25166;CZ020
25167;CZ020
25168;CZ020
25169;CZ020
25170;CZ020
25202;CZ020
25203;CZ020
25204;CZ020
25205;CZ020
25206;CZ020
25207;CZ020
25208;CZ020
25209;CZ020
25210;CZ020
25216;CZ020
25217;CZ020
25218;CZ020
25219;CZ020
25225;CZ020
25226;CZ010
25226;CZ020
25228;CZ010
25228;CZ020
25229;CZ020
25230;CZ020
25231;CZ020
25241;CZ020
25242;CZ020
25243;CZ020
25244;CZ020
25245;CZ020
25246;CZ020
25261;CZ020
25262;CZ020
25263;CZ020
25264;CZ020
25265;CZ020
25266;CZ020
25267;CZ020
25268;CZ020
25281;CZ020
25282;CZ020
25301;CZ020
25401;CZ020
25601;CZ020
25701;CZ020
25703;CZ020
25705;CZ020
25706;CZ020
25708;CZ020
25709;CZ020
25721;CZ020
25722;CZ020
25723;CZ020
25724;CZ020
25726;CZ020
25728;CZ020
25741;CZ020
25742;CZ020
25744;CZ020
25751;CZ020
25753;CZ020
25754;CZ020
25755;CZ020
25756;CZ020
25762;CZ020
25763;CZ020
25764;CZ020
25765;CZ020
25766;CZ020
25768;CZ020
25771;CZ020
25786;CZ020
25787;CZ020
25788;CZ020
25789;CZ020
