CODE;NUTS_3
01001;DED21
01002;DED21
01003;DED21
01004;DED21
01005;DED21
01006;DED21
01007;DED21
01008;DED21
01009;DED21
01010;DED21
01013;DED21
01014;DED21
01031;DED21
01032;DED21
01033;DED21
01034;DED21
01035;DED21
01036;DED21
01037;DED21
01038;DED21
01039;DED21
01040;DED21
01043;DED21
01044;DED21
01045;DED21
01046;DED21
01047;DED21
01048;DED21
01049;DED21
01050;DED21
01051;DED21
01052;DED21
01053;DED21
01054;DED21
01055;DED21
01056;DED21
01057;DED21
01058;DED21
01059;DED21
01060;DED21
01062;DED21
01063;DED21
01064;DED21
01065;DED21
01067;DED21
01069;DED21
01071;DED21
01072;DED21
01073;DED21
01074;DED21
01075;DED21
01076;DED21
01077;DED21
01078;DED21
01079;DED21
01080;DED21
01081;DED21
01082;DED21
01083;DED21
01090;DED21
01091;DED21
01094;DED21
01095;DED21
01097;DED21
01099;DED21
01100;DED21
01101;DED21
01102;DED21
01108;DED21
01109;DED21
01111;DED21
01112;DED21
01127;DED21
01129;DED21
01131;DED21
01139;DED21
01141;DED21
01142;DED21
01143;DED21
01147;DED21
01156;DED21
01157;DED21
01159;DED21
01160;DED21
01169;DED21
01171;DED21
01172;DED21
01174;DED21
01187;DED21
01189;DED21
01191;DED21
01192;DED21
01193;DED21
01194;DED21
01200;DED21
01201;DED2C
01212;DED21
01213;DED21
01217;DED21
01219;DED21
01221;DED21
01222;DED21
01224;DED21
01225;DED21
01237;DED21
01239;DED21
01241;DED21
01242;DED21
01244;DED21
01245;DED21
01246;DED21
01247;DED21
01255;DED21
01257;DED21
01259;DED21
01261;DED21
01262;DED21
01263;DED21
01264;DED21
01265;DED21
01266;DED21
01277;DED21
01279;DED21
01281;DED21
01282;DED21
01283;DED21
01287;DED21
01288;DED21
01290;DED21
01291;DED21
01292;DED21
01303;DED21
01304;DED21
01305;DED21
01307;DED21
01309;DED21
01311;DED21
01314;DED21
01315;DED21
01317;DED21
01324;DED21
01326;DED21
01328;DED21
01330;DED21
01333;DED21
01435;DED2E
01436;DED2E
01439;DED2E
01445;DED2E
01446;DED2C
01447;DED2C
01449;DED2C
01451;DED2C
01454;DED2C
01458;DED2C
01465;DED21
01466;DED2E
01468;DED2E
01469;DED2E
01471;DED2E
01475;DED2C
01477;DED2C
01552;DED2E
01553;DED2E
01554;DED2E
01555;DED2E
01558;DED2E
01561;DED2E
01571;DED2E
01572;DED2E
01573;DED2E
01577;DED2E
01578;DED2E
01579;DED2E
01583;DED2E
01587;DED2E
01589;DED2E
01591;DED2E
01594;DED2E
01603;DED2E
01609;DED2E
01612;DED2E
01614;DED2E
01616;DED2E
01618;DED2E
01619;DED2E
01620;DED2E
01621;DED2E
01623;DED2E
01631;DED2E
01632;DED2E
01633;DED2E
01640;DED2E
01651;DED2E
01652;DED2E
01653;DED2E
01654;DED2E
01657;DED2E
01662;DED2E
01665;DED2E
01681;DED2E
01683;DED2E
01686;DED2E
01689;DED2E
01691;DED2F
01705;DED2F
01720;DED2F
01723;DED2F
01728;DED2F
01730;DED2F
01731;DED2F
01734;DED2F
01735;DED2F
01737;DED2F
01738;DED2F
01741;DED2F
01744;DED2F
01762;DED2F
01766;DED2F
01768;DED2F
01773;DED2F
01774;DED2F
01776;DED2F
01778;DED2F
01781;DED2F
01782;DED2F
01783;DED2F
01787;DED2F
01788;DED2F
01793;DED2F
01796;DED2F
01801;DED2F
01804;DED2F
01809;DED2F
01812;DED2F
01814;DED2F
01816;DED2F
01819;DED2F
01822;DED2F
01824;DED2F
01825;DED2F
01829;DED2F
01833;DED2F
01841;DED2F
01844;DED2F
01847;DED2F
01848;DED2F
01851;DED2F
01855;DED2F
01871;DED2C
01872;DED2C
01873;DED2C
01874;DED2C
01877;DED2C
01893;DED2C
01896;DED2C
01897;DED2C
01898;DED2C
01900;DED2C
01902;DED2C
01904;DED2C
01906;DED2C
01909;DED2C
01911;DED2C
01912;DED2C
01913;DED2C
01915;DED2C
01917;DED2C
01920;DED2C
01936;DED2C
01941;DE40B
01945;DE40B
01956;DE40B
01957;DE40B
01958;DE40B
01963;DE40B
01964;DE40B
01968;DE40B
01969;DE40B
01971;DE40B
01973;DE40B
01979;DE40B
01980;DE40B
01981;DE40B
01983;DE40B
01984;DE40B
01986;DE40B
01987;DE40B
01988;DE40B
01990;DE40B
01991;DE40B
01993;DE40B
01994;DE40B
01996;DE40B
01998;DE40B
02600;DED2C
02601;DED2C
02602;DED2C
02603;DED2C
02604;DED2C
02605;DED2C
02606;DED2C
02607;DED2C
02608;DED2C
02609;DED2C
02610;DED2C
02619;DED2C
02620;DED2C
02621;DED2C
02625;DED2C
02627;DED2C
02633;DED2C
02634;DED2C
02635;DED2C
02640;DED2C
02643;DED2C
02679;DED2C
02681;DED2C
02684;DED2C
02685;DED2C
02686;DED2C
02689;DED2C
02690;DED2C
02692;DED2C
02693;DED2C
02694;DED2C
02697;DED2C
02699;DED2C
02701;DED2D
02702;DED2D
02703;DED2D
02704;DED2D
02708;DED2D
02724;DED2D
02725;DED2D
02727;DED2D
02728;DED2D
02730;DED2D
02733;DED2C
02734;DED2D
02736;DED2D
02739;DED2D
02742;DED2D
02745;DED2D
02747;DED2D
02748;DED2D
02751;DED2D
02752;DED2D
02753;DED2D
02754;DED2D
02755;DED2D
02760;DED2D
02763;DED2D
02777;DED2D
02779;DED2D
02782;DED2D
02785;DED2D
02788;DED2D
02791;DED2D
02794;DED2D
02796;DED2D
02797;DED2D
02799;DED2D
02806;DED2D
02807;DED2D
02808;DED2D
02809;DED2D
02810;DED2D
02811;DED2D
02812;DED2D
02813;DED2D
02814;DED2D
02815;DED2D
02816;DED2D
02818;DED2D
02822;DED2D
02823;DED2D
02826;DED2D
02827;DED2D
02828;DED2D
02829;DED2D
02892;DED2D
02894;DED2D
02899;DED2D
02901;DED2D
02902;DED2D
02903;DED2D
02906;DED2D
02923;DED2D
02927;DED2D
02929;DED2D
02931;DED2D
02932;DED2D
02933;DED2D
02943;DED2D
02953;DED2D
02956;DED2D
02957;DED2D
02959;DED2D
02961;DED2C
02962;DED2C
02965;DED2C
02967;DED2C
02972;DED2C
02977;DED2C
02979;DED2C
02989;DED2C
02991;DED2C
02992;DED2C
02994;DED2C
02997;DED2C
