CODE;NUTS_3
10431;EL300
10432;EL300
10433;EL300
10434;EL300
10435;EL300
10436;EL300
10437;EL300
10438;EL300
10439;EL300
10440;EL300
10441;EL300
10442;EL300
10443;EL300
10444;EL300
10445;EL300
10446;EL300
10447;EL300
10551;EL300
10552;EL300
10553;EL300
10554;EL300
10555;EL300
10556;EL300
10557;EL300
10558;EL300
10559;EL300
10560;EL300
10561;EL300
10562;EL300
10563;EL300
10564;EL300
10671;EL300
10672;EL300
10673;EL300
10674;EL300
10675;EL300
10676;EL300
10677;EL300
10678;EL300
10679;EL300
10680;EL300
10681;EL300
10682;EL300
10683;EL300
11141;EL300
11142;EL300
11143;EL300
11144;EL300
11145;EL300
11146;EL300
11147;EL300
11251;EL300
11252;EL300
11253;EL300
11254;EL300
11255;EL300
11256;EL300
11257;EL300
11361;EL300
11362;EL300
11363;EL300
11364;EL300
11471;EL300
11472;EL300
11473;EL300
11474;EL300
11475;EL300
11476;EL300
11521;EL300
11522;EL300
11523;EL300
11524;EL300
11525;EL300
11526;EL300
11527;EL300
11528;EL300
11631;EL300
11632;EL300
11633;EL300
11634;EL300
11635;EL300
11636;EL300
11741;EL300
11742;EL300
11743;EL300
11744;EL300
11745;EL300
11851;EL300
11852;EL300
11853;EL300
11854;EL300
11855;EL300
12131;EL300
12132;EL300
12133;EL300
12134;EL300
12135;EL300
12136;EL300
12137;EL300
12241;EL300
12242;EL300
12243;EL300
12244;EL300
12351;EL300
12461;EL300
12462;EL300
13121;EL300
13122;EL300
13123;EL300
13231;EL300
13341;EL300
13342;EL300
13343;EL300
13344;EL300
13345;EL300
13451;EL300
13461;EL300
13561;EL300
13562;EL300
13671;EL300
13672;EL300
13673;EL300
13674;EL300
13675;EL300
13676;EL300
13677;EL300
13678;EL300
13679;EL300
14121;EL300
14122;EL300
14123;EL300
14231;EL300
14232;EL300
14233;EL300
14234;EL300
14235;EL300
14341;EL300
14342;EL300
14343;EL300
14451;EL300
14452;EL300
14561;EL300
14562;EL300
14563;EL300
14564;EL300
14565;EL300
14568;EL300
14569;EL300
14572;EL300
14574;EL300
14575;EL300
14576;EL300
14578;EL300
14671;EL300
15121;EL300
15122;EL300
15123;EL300
15124;EL300
15125;EL300
15126;EL300
15127;EL300
15231;EL300
15232;EL300
15233;EL300
15234;EL300
15235;EL300
15236;EL300
15237;EL300
15238;EL300
15341;EL300
15342;EL300
15343;EL300
15344;EL300
15349;EL300
15351;EL300
15354;EL300
15374;EL300
15451;EL300
15452;EL300
15561;EL300
15562;EL300
15669;EL300
15771;EL300
15772;EL300
15773;EL300
16121;EL300
16122;EL300
16231;EL300
16232;EL300
16233;EL300
16341;EL300
16342;EL300
16343;EL300
16344;EL300
16345;EL300
16346;EL300
16451;EL300
16452;EL300
16561;EL300
16562;EL300
16671;EL300
16672;EL300
16673;EL300
16674;EL300
16675;EL300
16777;EL300
17121;EL300
17122;EL300
17123;EL300
17124;EL300
17234;EL300
17235;EL300
17236;EL300
17237;EL300
17341;EL300
17342;EL300
17343;EL300
17455;EL300
17456;EL300
17561;EL300
17562;EL300
17563;EL300
17564;EL300
17655;EL300
17671;EL300
17672;EL300
17673;EL300
17674;EL300
