CODE;NUTS_3
XXXXX;HR043
10000;HR041
10000;HR043
10010;HR041
10020;HR041
10250;HR041
10251;HR041
10253;HR041
10253;HR042
10255;HR042
10257;HR041
10290;HR042
10291;HR042
10292;HR042
10293;HR042
10294;HR042
10295;HR042
10296;HR042
10297;HR042
10298;HR042
10299;HR042
10310;HR042
10311;HR042
10312;HR042
10313;HR042
10314;HR042
10315;HR042
10316;HR042
10340;HR042
10341;HR042
10342;HR042
10343;HR042
10344;HR042
10345;HR042
10346;HR042
10347;HR042
10360;HR041
10361;HR041
10361;HR042
10362;HR041
10363;HR041
10370;HR042
10372;HR042
10373;HR041
10373;HR042
10380;HR042
10381;HR042
10382;HR042
10383;HR042
10408;HR042
10410;HR042
10411;HR042
10412;HR042
10413;HR042
10414;HR042
10415;HR042
10417;HR042
10418;HR042
10419;HR042
10430;HR042
10431;HR042
10432;HR042
10434;HR042
10435;HR042
10436;HR041
10436;HR042
10437;HR042
10450;HR042
10451;HR042
10453;HR04D
10453;HR042
10454;HR042
10455;HR042
10456;HR042
10457;HR042
20000;HR037
20205;HR037
20207;HR037
20210;HR037
20213;HR037
20215;HR037
20216;HR037
20217;HR037
20218;HR037
20221;HR037
20222;HR037
20223;HR037
20224;HR037
20225;HR037
20226;HR037
20230;HR037
20231;HR037
20232;HR037
20233;HR037
20234;HR037
20235;HR037
20236;HR037
20240;HR037
20242;HR037
20243;HR037
20244;HR037
20245;HR037
20246;HR037
20247;HR037
20248;HR037
20250;HR037
20260;HR037
20263;HR037
20264;HR037
20267;HR037
20269;HR037
20270;HR037
20271;HR037
20272;HR037
20273;HR037
20274;HR037
20275;HR037
20278;HR037
20290;HR037
20340;HR037
20341;HR037
20342;HR037
20343;HR037
20344;HR037
20345;HR037
20350;HR037
20352;HR037
20353;HR037
20355;HR037
20356;HR037
20357;HR037
21000;HR035
21201;HR035
21202;HR035
21203;HR035
21204;HR035
21205;HR035
21206;HR035
21207;HR035
21208;HR035
21209;HR035
21210;HR035
21211;HR035
21212;HR035
21213;HR035
21214;HR035
21215;HR035
21216;HR035
21220;HR035
21222;HR035
21223;HR035
21224;HR035
21225;HR035
21226;HR035
21227;HR035
21228;HR035
21229;HR035
21230;HR035
21231;HR035
21232;HR035
21233;HR035
21235;HR035
21236;HR035
21238;HR035
21240;HR035
21241;HR035
21242;HR035
21243;HR035
21244;HR035
21245;HR035
21246;HR035
21247;HR035
21250;HR035
21251;HR035
21252;HR035
21253;HR035
21254;HR035
21255;HR035
21256;HR035
21257;HR035
21260;HR035
21261;HR035
21262;HR035
21263;HR035
21264;HR035
21265;HR035
21266;HR035
21267;HR035
21270;HR035
21271;HR035
21272;HR035
21273;HR035
21275;HR035
21276;HR035
21277;HR035
21292;HR035
21300;HR035
21310;HR035
21311;HR035
21312;HR035
21314;HR035
21315;HR035
21317;HR035
21318;HR035
21320;HR035
21322;HR035
21325;HR035
21327;HR035
21328;HR035
21329;HR035
21330;HR035
21333;HR035
21334;HR035
21335;HR035
21400;HR035
21403;HR035
21404;HR035
21405;HR035
21410;HR035
21412;HR035
21413;HR035
21414;HR035
21420;HR035
21423;HR035
21424;HR035
21425;HR035
21426;HR035
21430;HR035
21432;HR035
21450;HR035
21454;HR035
21460;HR035
21462;HR035
21463;HR035
21465;HR035
21466;HR035
21467;HR035
21468;HR035
21469;HR035
21480;HR035
21483;HR035
21485;HR035
22000;HR034
22010;HR034
22020;HR034
22202;HR034
22203;HR034
22204;HR034
22205;HR034
22205;HR035
22206;HR034
22211;HR034
22212;HR034
22213;HR034
22214;HR034
22215;HR034
22221;HR034
22222;HR034
22232;HR034
22233;HR034
22234;HR034
22235;HR034
22236;HR034
22240;HR034
22242;HR034
22243;HR034
22244;HR034
22300;HR034
22301;HR034
22303;HR034
22305;HR034
22310;HR034
22320;HR034
22321;HR034
22322;HR034
22323;HR034
22324;HR034
23000;HR033
23205;HR033
23206;HR033
23207;HR033
23210;HR033
23211;HR033
23212;HR033
23222;HR033
23223;HR033
23226;HR033
23231;HR033
23232;HR033
23233;HR033
23234;HR033
23235;HR033
23241;HR033
23242;HR033
23244;HR033
23245;HR033
23247;HR033
23248;HR033
23249;HR033
23250;HR033
23251;HR033
23262;HR033
23263;HR033
23264;HR033
23271;HR033
23272;HR033
23273;HR033
23274;HR033
23275;HR033
23281;HR033
23282;HR033
23283;HR033
23284;HR033
23285;HR033
23286;HR033
23287;HR033
23291;HR033
23292;HR033
23293;HR033
23294;HR033
23295;HR033
23296;HR033
23312;HR033
23420;HR033
23422;HR033
23423;HR033
23440;HR033
23442;HR033
23445;HR033
23450;HR033
23452;HR033
31000;HR04B
31204;HR04B
31205;HR04B
31206;HR04B
31207;HR04B
31208;HR04B
31214;HR04B
31214;HR04C
31215;HR04B
31216;HR04B
31220;HR04B
31221;HR04B
31222;HR04B
31223;HR04B
31224;HR04B
31225;HR04B
31226;HR04B
31227;HR04B
31300;HR04B
31301;HR04B
31302;HR04B
31303;HR04B
31304;HR04B
31305;HR04B
31306;HR04B
