CODE;NUTS_3
101;IS001
103;IS001
104;IS001
105;IS001
107;IS001
108;IS001
109;IS001
110;IS001
111;IS001
112;IS001
113;IS001
116;IS001
150;IS001
170;IS001
190;IS002
200;IS001
201;IS001
203;IS001
210;IS001
220;IS001
221;IS001
225;IS001
230;IS002
233;IS002
235;IS002
240;IS002
245;IS002
250;IS002
260;IS002
270;IS001
270;IS002
271;IS001
271;IS002
276;IS001
300;IS002
301;IS002
310;IS002
311;IS002
320;IS002
340;IS002
345;IS002
350;IS002
355;IS002
356;IS002
360;IS002
370;IS002
371;IS002
380;IS002
400;IS002
401;IS002
410;IS002
415;IS002
420;IS002
425;IS002
430;IS002
450;IS002
451;IS002
460;IS002
465;IS002
470;IS002
471;IS002
500;IS002
510;IS002
512;IS002
520;IS002
524;IS002
530;IS002
531;IS002
540;IS002
541;IS002
545;IS002
550;IS002
551;IS002
560;IS002
565;IS002
566;IS002
570;IS002
580;IS002
600;IS002
601;IS002
603;IS002
610;IS002
611;IS002
620;IS002
621;IS002
625;IS002
630;IS002
640;IS002
641;IS002
645;IS002
650;IS002
660;IS002
670;IS002
671;IS002
675;IS002
680;IS002
681;IS002
685;IS002
690;IS002
700;IS002
701;IS002
710;IS002
715;IS002
720;IS002
730;IS002
735;IS002
740;IS002
750;IS002
755;IS002
760;IS002
765;IS002
780;IS002
781;IS002
785;IS002
800;IS002
801;IS002
810;IS002
815;IS002
820;IS002
825;IS002
840;IS002
845;IS002
850;IS002
851;IS002
860;IS002
861;IS002
870;IS002
871;IS002
880;IS002
900;IS002
