CODE;NUTS_3
00002;LT003
00006;LT003
00009;LT003
00100;LT003
00101;LT003
00102;LT003
00103;LT003
00104;LT003
00105;LT003
00106;LT003
00107;LT003
00108;LT003
00109;LT003
00110;LT003
00111;LT003
00112;LT003
00113;LT003
00114;LT003
00115;LT003
00116;LT003
00117;LT003
00118;LT003
00119;LT003
00120;LT003
00121;LT003
00122;LT003
00123;LT003
00124;LT003
00125;LT003
00126;LT003
00127;LT003
00128;LT003
00129;LT003
00131;LT003
00132;LT003
00133;LT003
00134;LT003
00135;LT003
00136;LT003
00137;LT003
00138;LT003
00139;LT003
00140;LT003
00141;LT003
00142;LT003
00143;LT003
00144;LT003
00145;LT003
00146;LT003
00147;LT003
00148;LT003
00149;LT003
00150;LT003
00151;LT003
00152;LT003
00153;LT003
00154;LT003
00155;LT003
00163;LT003
00165;LT003
00166;LT003
00167;LT003
00168;LT003
00169;LT003
00170;LT003
00174;LT003
00175;LT003
00176;LT003
00177;LT003
00178;LT003
00179;LT003
00180;LT003
00181;LT003
00182;LT003
00183;LT003
00184;LT003
00185;LT003
00186;LT003
00300;LT003
00301;LT003
00302;LT003
00303;LT003
00304;LT003
00305;LT003
00306;LT003
00307;LT003
00308;LT003
00309;LT003
00310;LT003
00311;LT003
00312;LT003
00313;LT003
00314;LT003
00315;LT003
00316;LT003
00317;LT003
00318;LT003
00319;LT003
00320;LT003
00321;LT003
00322;LT003
00323;LT003
00324;LT003
00325;LT003
00326;LT003
01001;LT00A
01002;LT00A
01003;LT00A
01004;LT00A
01005;LT00A
01006;LT00A
01007;LT00A
01008;LT00A
01009;LT00A
01010;LT00A
01011;LT00A
01013;LT00A
01014;LT00A
01015;LT00A
01016;LT00A
01017;LT00A
01021;LT00A
01025;LT00A
01026;LT00A
01028;LT00A
01031;LT00A
01032;LT00A
01034;LT00A
01100;LT00A
01101;LT00A
01102;LT00A
01103;LT00A
01104;LT00A
01105;LT00A
01106;LT00A
01107;LT00A
01108;LT00A
01109;LT00A
01110;LT00A
01111;LT00A
01112;LT00A
01113;LT00A
01114;LT00A
01115;LT00A
01116;LT00A
01117;LT00A
01118;LT00A
01119;LT00A
01120;LT00A
01121;LT00A
01122;LT00A
01123;LT00A
01124;LT00A
01125;LT00A
01126;LT00A
01127;LT00A
01128;LT00A
01129;LT00A
01130;LT00A
01131;LT00A
01132;LT00A
01133;LT00A
01134;LT00A
01135;LT00A
01136;LT00A
01137;LT00A
01138;LT00A
01139;LT00A
01140;LT00A
01141;LT00A
01200;LT00A
01201;LT00A
01202;LT00A
01203;LT00A
01204;LT00A
01205;LT00A
01206;LT00A
01207;LT00A
01208;LT00A
01209;LT00A
01210;LT00A
01211;LT00A
01212;LT00A
01213;LT00A
01214;LT00A
01215;LT00A
01500;LT00A
01501;LT00A
01502;LT00A
01503;LT00A
01504;LT00A
01505;LT00A
01506;LT00A
01507;LT00A
01508;LT00A
01509;LT00A
01510;LT00A
01511;LT00A
01512;LT00A
01513;LT00A
01514;LT00A
01515;LT00A
01516;LT00A
01517;LT00A
02001;LT00A
02002;LT00A
02003;LT00A
02004;LT00A
02005;LT00A
02007;LT00A
02008;LT00A
02009;LT00A
02011;LT00A
02012;LT00A
02013;LT00A
02017;LT00A
02021;LT00A
02025;LT00A
02026;LT00A
02029;LT00A
02030;LT00A
02100;LT00A
02101;LT00A
02102;LT00A
02103;LT00A
02104;LT00A
02105;LT00A
02106;LT00A
02107;LT00A
02108;LT00A
02109;LT00A
02110;LT00A
02111;LT00A
02112;LT00A
02113;LT00A
02114;LT00A
02115;LT00A
02116;LT00A
02117;LT00A
02118;LT00A
02119;LT00A
02120;LT00A
02121;LT00A
02122;LT00A
02151;LT00A
02152;LT00A
02153;LT00A
02154;LT00A
02155;LT00A
02156;LT00A
02157;LT00A
02158;LT00A
02159;LT00A
02160;LT00A
02161;LT00A
02162;LT00A
02163;LT00A
02164;LT00A
02165;LT00A
02166;LT00A
02167;LT00A
02168;LT00A
02169;LT00A
02170;LT00A
02171;LT00A
02172;LT00A
02173;LT00A
02174;LT00A
02175;LT00A
02176;LT00A
02177;LT00A
02178;LT00A
02179;LT00A
02180;LT00A
02181;LT00A
02182;LT00A
02183;LT00A
02184;LT00A
02185;LT00A
02186;LT00A
02187;LT00A
02188;LT00A
02189;LT00A
02190;LT00A
02191;LT00A
02192;LT00A
02193;LT00A
02241;LT00A
02242;LT00A
02243;LT00A
02244;LT00A
02245;LT00A
02246;LT00A
02300;LT00A
02301;LT00A
02302;LT00A
02303;LT00A
02304;LT00A
02305;LT00A
02306;LT00A
02307;LT00A
02308;LT00A
02309;LT00A
02511;LT00A
02512;LT00A
03001;LT00A
03002;LT00A
03003;LT00A
03004;LT00A
03005;LT00A
03006;LT00A
03007;LT00A
03011;LT00A
03012;LT00A
03013;LT00A
03014;LT00A
03100;LT00A
03101;LT00A
03102;LT00A
03103;LT00A
03104;LT00A
03105;LT00A
03106;LT00A
03107;LT00A
03108;LT00A
03109;LT00A
03110;LT00A
03111;LT00A
03112;LT00A
03113;LT00A
03114;LT00A
03115;LT00A
03116;LT00A
03117;LT00A
03118;LT00A
03119;LT00A
03120;LT00A
03121;LT00A
03122;LT00A
03123;LT00A
03124;LT00A
03125;LT00A
03126;LT00A
03127;LT00A
03128;LT00A
03129;LT00A
03130;LT00A
03131;LT00A
03132;LT00A
03133;LT00A
03134;LT00A
03135;LT00A
03136;LT00A
03137;LT00A
03138;LT00A
03139;LT00A
03140;LT00A
03141;LT00A
03142;LT00A
03143;LT00A
03144;LT00A
03145;LT00A
03146;LT00A
03147;LT00A
03148;LT00A
03149;LT00A
03150;LT00A
03151;LT00A
03152;LT00A
03153;LT00A
03154;LT00A
03155;LT00A
03156;LT00A
03200;LT00A
03201;LT00A
03202;LT00A
03203;LT00A
03204;LT00A
03205;LT00A
03206;LT00A
03207;LT00A
03208;LT00A
03209;LT00A
03210;LT00A
03211;LT00A
03212;LT00A
03213;LT00A
03214;LT00A
03215;LT00A
03216;LT00A
03217;LT00A
03218;LT00A
03219;LT00A
03220;LT00A
03221;LT00A
03222;LT00A
03223;LT00A
03224;LT00A
03225;LT00A
03226;LT00A
03227;LT00A
03228;LT00A
03229;LT00A
03230;LT00A
03500;LT00A
03501;LT00A
03502;LT00A
03503;LT00A
03504;LT00A
03505;LT00A
03506;LT00A
03507;LT00A
03600;LT00A
03601;LT00A
03602;LT00A
03603;LT00A
03604;LT00A
03605;LT00A
03606;LT00A
03607;LT00A
03608;LT00A
03609;LT00A
03610;LT00A
04001;LT00A
04002;LT00A
04003;LT00A
04007;LT00A
04008;LT00A
04009;LT00A
04013;LT00A
04014;LT00A
04015;LT00A
04016;LT00A
04017;LT00A
04018;LT00A
04019;LT00A
04100;LT00A
04101;LT00A
04102;LT00A
04103;LT00A
04104;LT00A
04105;LT00A
04106;LT00A
04107;LT00A
04108;LT00A
04109;LT00A
04110;LT00A
04111;LT00A
04112;LT00A
04113;LT00A
04114;LT00A
04115;LT00A
04116;LT00A
04117;LT00A
04118;LT00A
04119;LT00A
04120;LT00A
04121;LT00A
04122;LT00A
04123;LT00A
04124;LT00A
04125;LT00A
04126;LT00A
04127;LT00A
04128;LT00A
04129;LT00A
04130;LT00A
04131;LT00A
04132;LT00A
04133;LT00A
04134;LT00A
04135;LT00A
04200;LT00A
04201;LT00A
04202;LT00A
04203;LT00A
04204;LT00A
04205;LT00A
04206;LT00A
04207;LT00A
04208;LT00A
04209;LT00A
04210;LT00A
04211;LT00A
04212;LT00A
04213;LT00A
04214;LT00A
04215;LT00A
04216;LT00A
04217;LT00A
04218;LT00A
04219;LT00A
04220;LT00A
04221;LT00A
04222;LT00A
04223;LT00A
04224;LT00A
04225;LT00A
04226;LT00A
04227;LT00A
04300;LT00A
04301;LT00A
04302;LT00A
04303;LT00A
04304;LT00A
04305;LT00A
04306;LT00A
04307;LT00A
04308;LT00A
04309;LT00A
04310;LT00A
04311;LT00A
04312;LT00A
04313;LT00A
04314;LT00A
04315;LT00A
04316;LT00A
04317;LT00A
04318;LT00A
04319;LT00A
04320;LT00A
04321;LT00A
04322;LT00A
04323;LT00A
04324;LT00A
04325;LT00A
04326;LT00A
04327;LT00A
04328;LT00A
04329;LT00A
04330;LT00A
04331;LT00A
04332;LT00A
04333;LT00A
04334;LT00A
04335;LT00A
04336;LT00A
04337;LT00A
04338;LT00A
04339;LT00A
04340;LT00A
04341;LT00A
04342;LT00A
04343;LT00A
04344;LT00A
04345;LT00A
04346;LT00A
04347;LT00A
04348;LT00A
04349;LT00A
04350;LT00A
04540;LT00A
05001;LT00A
05002;LT00A
05003;LT00A
05004;LT00A
05009;LT00A
05010;LT00A
05011;LT00A
05100;LT00A
05101;LT00A
05102;LT00A
05103;LT00A
05104;LT00A
05105;LT00A
05106;LT00A
05107;LT00A
05108;LT00A
05109;LT00A
05110;LT00A
05111;LT00A
05112;LT00A
05113;LT00A
05114;LT00A
05115;LT00A
05116;LT00A
05117;LT00A
05118;LT00A
05119;LT00A
05120;LT00A
05121;LT00A
05122;LT00A
05123;LT00A
05124;LT00A
05125;LT00A
05126;LT00A
05127;LT00A
05128;LT00A
05129;LT00A
05130;LT00A
05131;LT00A
05200;LT00A
05201;LT00A
05202;LT00A
05203;LT00A
05204;LT00A
05205;LT00A
05206;LT00A
05207;LT00A
05208;LT00A
05209;LT00A
05210;LT00A
05211;LT00A
05212;LT00A
05213;LT00A
05214;LT00A
05215;LT00A
05216;LT00A
05217;LT00A
05218;LT00A
05219;LT00A
05220;LT00A
05221;LT00A
05222;LT00A
05223;LT00A
05224;LT00A
05225;LT00A
05226;LT00A
05227;LT00A
05228;LT00A
05229;LT00A
05230;LT00A
05231;LT00A
05232;LT00A
05233;LT00A
05234;LT00A
05235;LT00A
05236;LT00A
05237;LT00A
05238;LT00A
05239;LT00A
05240;LT00A
05241;LT00A
05242;LT00A
05243;LT00A
05244;LT00A
05245;LT00A
05246;LT00A
05247;LT00A
05248;LT00A
05249;LT00A
05250;LT00A
05251;LT00A
05252;LT00A
05253;LT00A
05254;LT00A
05255;LT00A
05256;LT00A
05257;LT00A
05258;LT00A
05259;LT00A
05260;LT00A
05261;LT00A
05262;LT00A
05263;LT00A
05264;LT00A
05265;LT00A
05266;LT00A
05267;LT00A
05268;LT00A
06001;LT00A
06002;LT00A
06003;LT00A
06005;LT00A
06009;LT00A
06100;LT00A
06101;LT00A
06102;LT00A
06103;LT00A
06104;LT00A
06105;LT00A
06106;LT00A
06107;LT00A
06108;LT00A
06109;LT00A
06110;LT00A
06111;LT00A
06112;LT00A
06113;LT00A
06114;LT00A
06115;LT00A
06116;LT00A
06117;LT00A
06118;LT00A
06119;LT00A
06120;LT00A
06121;LT00A
06122;LT00A
06123;LT00A
06124;LT00A
06125;LT00A
06126;LT00A
06127;LT00A
06128;LT00A
06129;LT00A
06130;LT00A
06131;LT00A
06132;LT00A
06133;LT00A
06134;LT00A
06135;LT00A
06136;LT00A
06137;LT00A
06138;LT00A
06139;LT00A
06140;LT00A
06141;LT00A
06142;LT00A
06143;LT00A
06144;LT00A
06145;LT00A
06146;LT00A
06152;LT00A
06153;LT00A
06154;LT00A
06200;LT00A
06201;LT00A
06202;LT00A
06203;LT00A
06204;LT00A
06205;LT00A
06206;LT00A
06207;LT00A
06208;LT00A
06209;LT00A
06210;LT00A
06211;LT00A
06212;LT00A
06213;LT00A
06214;LT00A
06215;LT00A
06216;LT00A
06217;LT00A
06218;LT00A
06219;LT00A
06220;LT00A
06221;LT00A
06222;LT00A
06223;LT00A
06224;LT00A
06225;LT00A
06226;LT00A
06227;LT00A
06228;LT00A
06229;LT00A
06230;LT00A
06231;LT00A
06232;LT00A
06236;LT00A
06237;LT00A
06238;LT00A
06242;LT00A
06248;LT00A
06255;LT00A
06256;LT00A
06264;LT00A
06268;LT00A
06270;LT00A
06272;LT00A
06279;LT00A
06280;LT00A
06281;LT00A
06282;LT00A
06283;LT00A
06284;LT00A
06285;LT00A
06286;LT00A
06300;LT00A
06301;LT00A
06302;LT00A
06303;LT00A
06304;LT00A
06305;LT00A
06306;LT00A
06307;LT00A
06308;LT00A
06309;LT00A
