CODE;NUTS_3
1000;LV006
1001;LV006
1002;LV006
1003;LV006
1004;LV006
1005;LV006
1006;LV006
1007;LV006
1009;LV006
1010;LV006
1011;LV006
1012;LV006
1013;LV006
1014;LV006
1015;LV006
1016;LV006
1019;LV006
1021;LV006
1023;LV006
1023;LV007
1024;LV006
1024;LV007
1026;LV006
1029;LV006
1030;LV006
1034;LV006
1035;LV006
1039;LV006
1044;LV007
1045;LV006
1046;LV006
1048;LV006
1050;LV006
1053;LV007
1055;LV006
1057;LV006
1057;LV007
1058;LV006
1063;LV006
1064;LV006
1067;LV006
1069;LV006
1073;LV006
1076;LV006
1076;LV007
1079;LV006
1082;LV006
1083;LV006
1084;LV006
1134;LV006
1142;LV006
1145;LV006
1159;LV006
1167;LV006
1170;LV006
1230;LV006
1235;LV006
1301;LV006
1331;LV006
1337;LV006
1340;LV006
1356;LV006
1360;LV006
1364;LV006
1395;LV006
1423;LV006
1426;LV006
1442;LV006
1459;LV006
1473;LV006
1487;LV006
1494;LV006
1495;LV006
1505;LV006
1509;LV006
1510;LV006
1511;LV006
1519;LV006
1520;LV006
1522;LV006
1536;LV006
1539;LV006
1547;LV006
1586;LV006
1605;LV006
1658;LV006
1666;LV006
1743;LV006
1772;LV006
1801;LV006
1803;LV006
1811;LV006
1817;LV006
1820;LV006
1822;LV006
1863;LV006
1880;LV006
1886;LV006
1887;LV006
1892;LV006
1900;LV006
1919;LV006
1932;LV006
1939;LV006
1940;LV006
1978;LV006
1981;LV006
2008;LV007
2010;LV007
2011;LV007
2012;LV007
2015;LV007
2016;LV007
2101;LV007
2103;LV007
2105;LV007
2107;LV007
2108;LV007
2111;LV007
2112;LV007
2113;LV007
2114;LV007
2117;LV007
2118;LV007
2119;LV007
2121;LV007
2123;LV007
2124;LV007
2125;LV007
2127;LV007
2128;LV007
2130;LV007
2133;LV007
2135;LV007
2136;LV007
2137;LV007
2140;LV007
2141;LV007
2142;LV007
2144;LV007
2145;LV007
2150;LV007
2151;LV007
2152;LV007
2154;LV007
2160;LV007
2161;LV007
2162;LV007
2163;LV007
2164;LV007
2166;LV007
2167;LV007
2169;LV007
2170;LV007
3001;LV009
3002;LV009
3003;LV009
3004;LV009
3007;LV009
3008;LV009
3011;LV009
3014;LV009
3016;LV009
3017;LV009
3018;LV009
3020;LV009
3021;LV009
3022;LV009
3023;LV009
3026;LV009
3028;LV009
3031;LV009
3034;LV009
3036;LV009
3037;LV009
3040;LV009
3042;LV009
3043;LV009
3045;LV009
3101;LV007
3104;LV007
3110;LV007
3113;LV007
3118;LV007
3119;LV007
3120;LV007
3122;LV007
3123;LV007
3124;LV007
3128;LV007
3129;LV007
3131;LV007
3132;LV007
3133;LV007
3134;LV007
3135;LV007
3137;LV007
3139;LV007
3140;LV007
3142;LV007
3145;LV007
3146;LV007
3147;LV007
3148;LV007
