CODE;NUTS_3
ATD1010;MT001
ATD1011;MT001
ATD1013;MT001
ATD1020;MT001
ATD1021;MT001
ATD1022;MT001
ATD1023;MT001
ATD1024;MT001
ATD1025;MT001
ATD1026;MT001
ATD1027;MT001
ATD1028;MT001
ATD1029;MT001
ATD1040;MT001
ATD1051;MT001
ATD1060;MT001
ATD1061;MT001
ATD1062;MT001
ATD1063;MT001
ATD1070;MT001
ATD1071;MT001
ATD1080;MT001
ATD1081;MT001
ATD1100;MT001
ATD1101;MT001
ATD1102;MT001
ATD1103;MT001
ATD1110;MT001
ATD1111;MT001
ATD1113;MT001
ATD1121;MT001
ATD1123;MT001
ATD1124;MT001
ATD1125;MT001
ATD1132;MT001
ATD1133;MT001
ATD1134;MT001
ATD1135;MT001
ATD1140;MT001
ATD1141;MT001
ATD1151;MT001
ATD1152;MT001
ATD1153;MT001
ATD1154;MT001
ATD1155;MT001
ATD1156;MT001
ATD1160;MT001
ATD1161;MT001
ATD1170;MT001
ATD1171;MT001
ATD1180;MT001
ATD1181;MT001
ATD1191;MT001
ATD1200;MT001
ATD1202;MT001
ATD1203;MT001
ATD1210;MT001
ATD1211;MT001
ATD1212;MT001
ATD1213;MT001
ATD1214;MT001
ATD1215;MT001
ATD1216;MT001
ATD1217;MT001
ATD1221;MT001
ATD1222;MT001
ATD1223;MT001
ATD1230;MT001
ATD1231;MT001
ATD1232;MT001
ATD1233;MT001
ATD1234;MT001
ATD1235;MT001
ATD1236;MT001
ATD1237;MT001
ATD1239;MT001
ATD1240;MT001
ATD1241;MT001
ATD1251;MT001
ATD1253;MT001
ATD1260;MT001
ATD1261;MT001
ATD1282;MT001
ATD1283;MT001
ATD1284;MT001
ATD1285;MT001
ATD1290;MT001
ATD1300;MT001
ATD1301;MT001
ATD1310;MT001
ATD1312;MT001
ATD1313;MT001
ATD1314;MT001
ATD1315;MT001
ATD1320;MT001
ATD1321;MT001
ATD1340;MT001
ATD1341;MT001
ATD1350;MT001
ATD1351;MT001
ATD1360;MT001
ATD1361;MT001
ATD1362;MT001
ATD1363;MT001
ATD1364;MT001
ATD1365;MT001
ATD1366;MT001
ATD1367;MT001
ATD1370;MT001
ATD1371;MT001
ATD1380;MT001
ATD1381;MT001
ATD1390;MT001
ATD1391;MT001
ATD1400;MT001
ATD1401;MT001
ATD1403;MT001
ATD1404;MT001
ATD1405;MT001
ATD1406;MT001
ATD1407;MT001
ATD1408;MT001
ATD1409;MT001
ATD1411;MT001
ATD1412;MT001
ATD1420;MT001
ATD1421;MT001
ATD1430;MT001
ATD1431;MT001
ATD1432;MT001
ATD1433;MT001
ATD1434;MT001
ATD1437;MT001
ATD1438;MT001
ATD1439;MT001
ATD1440;MT001
ATD1441;MT001
ATD1450;MT001
ATD1451;MT001
ATD1460;MT001
ATD1461;MT001
ATD1470;MT001
ATD1471;MT001
ATD1472;MT001
ATD1473;MT001
ATD1474;MT001
ATD1475;MT001
ATD1483;MT001
ATD1490;MT001
ATD1491;MT001
ATD1492;MT001
ATD1493;MT001
ATD1500;MT001
ATD1502;MT001
ATD1503;MT001
ATD1504;MT001
ATD1510;MT001
ATD1511;MT001
ATD1520;MT001
ATD1521;MT001
ATD1522;MT001
ATD1523;MT001
ATD1525;MT001
ATD1530;MT001
ATD1531;MT001
ATD1532;MT001
ATD1541;MT001
ATD1542;MT001
ATD1543;MT001
ATD1550;MT001
ATD1552;MT001
ATD1554;MT001
ATD1555;MT001
ATD1600;MT001
ATD1601;MT001
ATD1602;MT001
ATD1603;MT001
ATD1610;MT001
ATD1611;MT001
ATD1612;MT001
ATD1613;MT001
ATD1620;MT001
ATD1621;MT001
ATD1622;MT001
ATD1623;MT001
ATD1624;MT001
ATD1625;MT001
ATD1630;MT001
ATD1631;MT001
ATD1633;MT001
ATD1640;MT001
ATD1641;MT001
ATD1643;MT001
ATD1645;MT001
ATD1650;MT001
ATD1651;MT001
ATD1700;MT001
ATD1702;MT001
ATD1710;MT001
ATD1711;MT001
ATD1712;MT001
ATD1713;MT001
ATD1714;MT001
ATD1715;MT001
ATD1720;MT001
ATD1721;MT001
ATD1722;MT001
ATD1723;MT001
ATD1730;MT001
ATD1734;MT001
ATD1740;MT001
ATD1741;MT001
ATD1760;MT001
ATD1761;MT001
ATD1762;MT001
ATD1763;MT001
ATD1800;MT001
ATD1801;MT001
ATD1802;MT001
ATD1803;MT001
ATD1804;MT001
ATD1805;MT001
ATD1810;MT001
ATD1811;MT001
ATD1812;MT001
ATD1820;MT001
ATD1821;MT001
ATD1830;MT001
ATD1831;MT001
ATD1840;MT001
ATD1841;MT001
ATD1842;MT001
ATD1843;MT001
ATD1844;MT001
ATD1850;MT001
ATD1860;MT001
ATD1861;MT001
ATD1862;MT001
ATD1863;MT001
ATD1870;MT001
ATD1871;MT001
ATD1872;MT001
ATD1890;MT001
ATD1891;MT001
ATD1900;MT001
ATD1901;MT001
ATD1902;MT001
ATD1903;MT001
ATD1904;MT001
ATD1905;MT001
ATD1906;MT001
ATD1907;MT001
ATD1910;MT001
ATD1911;MT001
ATD1912;MT001
ATD1913;MT001
ATD1920;MT001
ATD1921;MT001
ATD1922;MT001
ATD1923;MT001
ATD1930;MT001
ATD1931;MT001
ATD1932;MT001
ATD1933;MT001
ATD1940;MT001
ATD1941;MT001
ATD1942;MT001
ATD1943;MT001
ATD1950;MT001
ATD1951;MT001
ATD1960;MT001
ATD1961;MT001
ATD1970;MT001
ATD1971;MT001
ATD1972;MT001
ATD1973;MT001
ATD1974;MT001
ATD1975;MT001
ATD1976;MT001
ATD1977;MT001
ATD1978;MT001
ATD1979;MT001
ATD1980;MT001
ATD1981;MT001
ATD2010;MT001
ATD2011;MT001
ATD2020;MT001
ATD2021;MT001
ATD2022;MT001
ATD2023;MT001
ATD2024;MT001
ATD2025;MT001
ATD2027;MT001
ATD2029;MT001
ATD2030;MT001
ATD2031;MT001
ATD2040;MT001
ATD2041;MT001
ATD2050;MT001
ATD2051;MT001
ATD2060;MT001
ATD2062;MT001
ATD2064;MT001
ATD2066;MT001
ATD2068;MT001
ATD2069;MT001
ATD2073;MT001
ATD2074;MT001
ATD2081;MT001
ATD2083;MT001
ATD2085;MT001
ATD2090;MT001
ATD2091;MT001
ATD2092;MT001
ATD2093;MT001
ATD2200;MT001
ATD2201;MT001
ATD2210;MT001
ATD2214;MT001
ATD2215;MT001
ATD2216;MT001
ATD2217;MT001
ATD2218;MT001
ATD2219;MT001
ATD2221;MT001
ATD2222;MT001
ATD2223;MT001
ATD2230;MT001
ATD2231;MT001
ATD2232;MT001
ATD2233;MT001
ATD2250;MT001
ATD2251;MT001
ATD2252;MT001
ATD2253;MT001
ATD2260;MT001
ATD2261;MT001
ATD2262;MT001
ATD2270;MT001
ATD2271;MT001
ATD2272;MT001
ATD2273;MT001
ATD2280;MT001
ATD2281;MT001
ATD2282;MT001
ATD2283;MT001
ATD2300;MT001
ATD2301;MT001
ATD2302;MT001
ATD2303;MT001
ATD2311;MT001
ATD2313;MT001
ATD2314;MT001
ATD2315;MT001
ATD2316;MT001
ATD2317;MT001
ATD2320;MT001
ATD2321;MT001
ATD2322;MT001
ATD2323;MT001
ATD2331;MT001
ATD2333;MT001
ATD2335;MT001
ATD2336;MT001
ATD2337;MT001
ATD2338;MT001
ATD2339;MT001
ATD2340;MT001
ATD2341;MT001
ATD2342;MT001
ATD2343;MT001
ATD2344;MT001
ATD2345;MT001
ATD2350;MT001
ATD2351;MT001
ATD2352;MT001
ATD2353;MT001
ATD2354;MT001
ATD2355;MT001
ATD2360;MT001
ATD2361;MT001
ATD2362;MT001
ATD2363;MT001
ATD2364;MT001
ATD2365;MT001
ATD2366;MT001
ATD2370;MT001
ATD2371;MT001
ATD2380;MT001
ATD2382;MT001
ATD2400;MT001
ATD2401;MT001
ATD2410;MT001
ATD2411;MT001
ATD2412;MT001
ATD2413;MT001
ATD2415;MT001
ATD2421;MT001
ATD2430;MT001
ATD2431;MT001
ATD2450;MT001
ATD2452;MT001
ATD2460;MT001
ATD2461;MT001
ATD2462;MT001
ATD2463;MT001
ATD2470;MT001
ATD2471;MT001
ATD2481;MT001
ATD2482;MT001
ATD2483;MT001
ATD2484;MT001
ATD2485;MT001
ATD2486;MT001
ATD2511;MT001
ATD2520;MT001
ATD2522;MT001
ATD2530;MT001
ATD2531;MT001
ATD2600;MT001
ATD2601;MT001
ATD2602;MT001
ATD2605;MT001
ATD2607;MT001
ATD2608;MT001
ATD2609;MT001
ATD2610;MT001
ATD2611;MT001
ATD2620;MT001
ATD2621;MT001
ATD2622;MT001
ATD2623;MT001
ATD2630;MT001
ATD2631;MT001
ATD2632;MT001
ATD2633;MT001
ATD2640;MT001
ATD2641;MT001
ATD2650;MT001
ATD2651;MT001
ATD2652;MT001
ATD2653;MT001
ATD2654;MT001
ATD2655;MT001
ATD2657;MT001
ATD2660;MT001
ATD2661;MT001
ATD2662;MT001
ATD2663;MT001
ATD2680;MT001
ATD2681;MT001
ATD2700;MT001
ATD2701;MT001
ATD2702;MT001
ATD2703;MT001
ATD2704;MT001
ATD2705;MT001
ATD2706;MT001
ATD2707;MT001
ATD2711;MT001
ATD2720;MT001
ATD2730;MT001
ATD2731;MT001
ATD2732;MT001
ATD2733;MT001
ATD2741;MT001
ATD2750;MT001
ATD2752;MT001
