CODE;NUTS_3
1011;NL326
1012;NL326
1013;NL326
1014;NL326
1015;NL326
1016;NL326
1017;NL326
1018;NL326
1019;NL326
1021;NL326
1022;NL326
1023;NL326
1024;NL326
1025;NL326
1026;NL326
1027;NL326
1028;NL326
1031;NL326
1032;NL326
1033;NL326
1034;NL326
1035;NL326
1036;NL326
1037;NL326
1041;NL326
1042;NL326
1043;NL326
1045;NL326
1046;NL326
1047;NL326
1051;NL326
1052;NL326
1053;NL326
1054;NL326
1055;NL326
1056;NL326
1057;NL326
1058;NL326
1059;NL326
1060;NL326
1061;NL326
1062;NL326
1063;NL326
1064;NL326
1065;NL326
1066;NL326
1067;NL326
1068;NL326
1069;NL326
1071;NL326
1072;NL326
1073;NL326
1074;NL326
1075;NL326
1076;NL326
1077;NL326
1078;NL326
1079;NL326
1081;NL326
1082;NL326
1083;NL326
1086;NL326
1087;NL326
1091;NL326
1092;NL326
1093;NL326
1094;NL326
1095;NL326
1096;NL326
1097;NL326
1098;NL326
1101;NL326
1102;NL326
1103;NL326
1104;NL326
1105;NL326
1106;NL326
1107;NL326
1108;NL326
1109;NL326
1111;NL326
1112;NL326
1113;NL326
1115;NL326
1119;NL326
1121;NL326
1127;NL326
1131;NL326
1132;NL326
1135;NL326
1141;NL326
1145;NL326
1151;NL326
1153;NL326
1154;NL326
1156;NL326
1161;NL326
1165;NL324
1171;NL326
1175;NL326
1181;NL326
1182;NL326
1183;NL326
1184;NL326
1185;NL326
1186;NL326
1187;NL326
1188;NL326
1189;NL326
1191;NL326
1211;NL327
1212;NL327
1213;NL327
1214;NL327
1215;NL327
1216;NL327
1217;NL327
1218;NL327
1221;NL327
1222;NL327
1223;NL327
1231;NL327
1241;NL327
1243;NL327
1244;NL327
1251;NL327
1252;NL327
1261;NL327
1271;NL327
1272;NL327
1273;NL327
1274;NL327
1275;NL327
1276;NL327
1277;NL327
1309;NL230
1311;NL230
1312;NL230
1313;NL230
1314;NL230
1315;NL230
1316;NL230
1317;NL230
1318;NL230
1319;NL230
1321;NL230
1323;NL230
1324;NL230
1325;NL230
1326;NL230
1328;NL230
1329;NL230
1331;NL230
1332;NL230
1333;NL230
1334;NL230
1335;NL230
1336;NL230
1338;NL230
1339;NL230
1343;NL230
1349;NL230
1351;NL230
1352;NL230
1353;NL230
1354;NL230
1355;NL230
1356;NL230
1357;NL230
1358;NL230
1359;NL230
1361;NL230
1363;NL230
1381;NL327
1382;NL327
1383;NL327
1391;NL310
1393;NL310
1394;NL327
1396;NL310
1398;NL327
1399;NL327
1401;NL327
1402;NL327
1403;NL327
1404;NL327
1405;NL327
1406;NL327
1411;NL327
1412;NL327
1421;NL326
1422;NL326
1423;NL326
1424;NL326
1426;NL310
1427;NL310
1428;NL338
1431;NL326
1432;NL326
1433;NL326
1435;NL326
1436;NL326
1437;NL326
1438;NL326
1441;NL326
1442;NL326
1443;NL326
1444;NL326
1445;NL326
1446;NL326
1447;NL326
1448;NL326
1451;NL326
1452;NL326
1454;NL326
1456;NL325
1458;NL325
1461;NL326
1462;NL326
1463;NL326
1464;NL326
1471;NL326
1472;NL326
1473;NL326
1474;NL326
1475;NL326
1476;NL326
1477;NL326
1481;NL326
1482;NL326
1483;NL326
1484;NL326
1485;NL326
1486;NL326
1487;NL326
1488;NL326
1489;NL323
1501;NL325
1502;NL325
1503;NL325
1504;NL325
1505;NL325
1506;NL325
1507;NL325
1508;NL325
1509;NL325
1511;NL326
1521;NL325
1525;NL325
1531;NL325
1534;NL325
1536;NL326
1541;NL325
1544;NL325
1546;NL325
1551;NL325
1561;NL325
1562;NL325
1566;NL325
1567;NL325
1601;NL321
1602;NL321
1606;NL321
1607;NL321
1608;NL321
1609;NL321
1611;NL321
1613;NL321
1614;NL321
1616;NL321
1617;NL321
1619;NL321
1621;NL321
1622;NL321
1623;NL321
1624;NL321
1625;NL321
1627;NL321
1628;NL321
1631;NL321
1633;NL321
1634;NL321
1636;NL322
1641;NL321
1642;NL321
1643;NL321
1645;NL321
1646;NL322
1647;NL321
1648;NL321
1652;NL321
1654;NL321
1655;NL321
1657;NL321
1658;NL321
1661;NL321
1662;NL321
1663;NL321
1671;NL321
1674;NL321
1676;NL321
1678;NL321
1679;NL321
1681;NL321
1682;NL321
1683;NL321
1684;NL321
1685;NL321
1686;NL321
1687;NL321
1688;NL321
1689;NL321
1691;NL321
1692;NL321
1693;NL321
1695;NL321
1696;NL321
1697;NL321
1701;NL322
1702;NL322
1703;NL322
1704;NL322
1705;NL322
1711;NL321
1713;NL321
1715;NL321
1716;NL321
1718;NL321
1719;NL321
1721;NL322
1722;NL322
1723;NL322
1724;NL322
1731;NL321
1732;NL321
1733;NL321
1734;NL321
1735;NL321
1736;NL321
1738;NL321
1741;NL321
1742;NL321
1744;NL321
1746;NL321
1747;NL321
1749;NL321
1751;NL321
1752;NL321
1753;NL321
1754;NL321
1755;NL321
1756;NL321
1757;NL321
1759;NL321
1761;NL321
1764;NL321
1766;NL321
1767;NL321
1768;NL321
1769;NL321
1771;NL321
1773;NL321
1774;NL321
1775;NL321
1777;NL321
1778;NL321
1779;NL321
1781;NL321
1782;NL321
1783;NL321
1784;NL321
1785;NL321
1786;NL321
1787;NL321
1788;NL321
1791;NL321
1792;NL321
1793;NL321
1794;NL321
1795;NL321
1796;NL321
1797;NL321
1811;NL322
1812;NL322
1813;NL322
1814;NL322
1815;NL322
1816;NL322
1817;NL322
1821;NL322
1822;NL322
1823;NL322
1824;NL322
1825;NL322
1826;NL322
1827;NL322
1829;NL322
1831;NL322
1832;NL322
1834;NL322
1841;NL322
1842;NL322
1843;NL322
1844;NL322
1846;NL322
1847;NL322
1851;NL322
1852;NL322
1861;NL322
1862;NL322
1865;NL322
1871;NL322
1873;NL322
1901;NL323
1902;NL323
1906;NL323
1911;NL323
1921;NL323
1931;NL322
1934;NL322
1935;NL322
1941;NL323
1942;NL323
1943;NL323
1944;NL323
1945;NL323
1946;NL323
1947;NL323
1948;NL323
1949;NL323
1951;NL323
1961;NL323
1962;NL323
1963;NL323
1964;NL323
1965;NL323
1966;NL323
1967;NL323
1968;NL323
1969;NL323
1971;NL323
1972;NL323
1973;NL323
1974;NL323
1975;NL323
1976;NL323
1981;NL323
1985;NL323
1991;NL323
1992;NL323
2011;NL324
2012;NL324
2013;NL324
2014;NL324
2015;NL324
2019;NL324
2021;NL324
2022;NL324
2023;NL324
2024;NL324
2025;NL324
2026;NL324
2031;NL324
2032;NL324
2033;NL324
2034;NL324
2035;NL324
2036;NL324
2037;NL324
2041;NL324
2042;NL324
2051;NL324
2061;NL324
2063;NL324
2064;NL324
2065;NL324
2071;NL323
2082;NL323
2101;NL324
2102;NL324
2103;NL324
2104;NL324
2105;NL324
2106;NL324
2111;NL324
2114;NL324
2116;NL324
2121;NL324
2131;NL326
2132;NL326
2133;NL326
2134;NL326
2135;NL326
2136;NL326
2141;NL326
2142;NL326
2143;NL326
2144;NL326
2151;NL326
2152;NL326
2153;NL326
2154;NL326
2155;NL326
2156;NL326
2157;NL326
2158;NL326
2159;NL337
2161;NL337
2162;NL337
2163;NL337
2165;NL326
2171;NL337
2172;NL337
2181;NL337
2182;NL337
2191;NL337
2201;NL337
2202;NL337
2203;NL337
2204;NL337
2211;NL337
2215;NL337
2221;NL337
2222;NL337
2223;NL337
2224;NL337
2225;NL337
2231;NL337
2235;NL337
2241;NL332
2242;NL332
2243;NL332
2244;NL332
2245;NL332
2251;NL337
2252;NL337
2253;NL337
2254;NL337
2261;NL332
2262;NL332
2263;NL332
2264;NL332
2265;NL332
2266;NL332
2267;NL332
