CODE;NUTS_3
0000;NO051
0010;NO011
0139;NO011
0150;NO011
0151;NO011
0152;NO011
0153;NO011
0154;NO011
0155;NO011
0157;NO011
0158;NO011
0159;NO011
0160;NO011
0161;NO011
0162;NO011
0164;NO011
0165;NO011
0166;NO011
0167;NO011
0168;NO011
0169;NO011
0170;NO011
0171;NO011
0172;NO011
0173;NO011
0174;NO011
0175;NO011
0176;NO011
0177;NO011
0178;NO011
0179;NO011
0180;NO011
0181;NO011
0182;NO011
0183;NO011
0184;NO011
0186;NO011
0187;NO011
0188;NO011
0190;NO011
0191;NO011
0192;NO011
0193;NO011
0195;NO011
0196;NO011
0198;NO011
0250;NO011
0251;NO011
0252;NO011
0253;NO011
0254;NO011
0255;NO011
0256;NO011
0257;NO011
0258;NO011
0259;NO011
0260;NO011
0262;NO011
0263;NO011
0264;NO011
0265;NO011
0266;NO011
0267;NO011
0268;NO011
0270;NO011
0271;NO011
0272;NO011
0273;NO011
0274;NO011
0275;NO011
0276;NO011
0277;NO011
0278;NO011
0279;NO011
0280;NO011
0281;NO011
0282;NO011
0283;NO011
0553;NO011
0554;NO011
0555;NO011
0556;NO011
0557;NO011
0558;NO011
0559;NO011
0560;NO011
0561;NO011
0562;NO011
0563;NO011
0564;NO011
0565;NO011
0566;NO011
0567;NO011
0568;NO011
0569;NO011
0570;NO011
0571;NO011
0572;NO011
0573;NO011
0574;NO011
0575;NO011
0576;NO011
0577;NO011
0578;NO011
0579;NO011
0580;NO011
0581;NO011
0582;NO011
0583;NO011
0584;NO011
0585;NO011
0586;NO011
0587;NO011
0588;NO011
0589;NO011
0590;NO011
0591;NO011
0592;NO011
0593;NO011
0594;NO011
0595;NO011
0596;NO011
0597;NO011
0598;NO011
0650;NO011
0651;NO011
0652;NO011
0653;NO011
0654;NO011
0655;NO011
0656;NO011
0657;NO011
0658;NO011
0659;NO011
0660;NO011
0661;NO011
0662;NO011
0663;NO011
0664;NO011
0665;NO011
0666;NO011
0667;NO011
0668;NO011
0669;NO011
0670;NO011
0671;NO011
0672;NO011
0673;NO011
0674;NO011
0675;NO011
0676;NO011
0677;NO011
0678;NO011
0679;NO011
0680;NO011
0681;NO011
0682;NO011
0683;NO011
0684;NO011
0685;NO011
0686;NO011
0687;NO011
0688;NO011
0689;NO011
0690;NO011
0691;NO011
0692;NO011
0693;NO011
0694;NO011
0750;NO011
0751;NO011
0752;NO011
0753;NO011
0754;NO011
0755;NO011
0756;NO011
0757;NO011
0758;NO011
0759;NO011
0760;NO011
0763;NO011
0764;NO011
0765;NO011
0766;NO011
0767;NO011
0768;NO011
0770;NO011
0771;NO011
0772;NO011
0773;NO011
0774;NO011
0775;NO011
0776;NO011
0777;NO011
0778;NO011
0779;NO011
0781;NO011
0782;NO011
0783;NO011
0784;NO011
0785;NO011
0786;NO011
0787;NO011
0788;NO011
0789;NO011
0790;NO011
0791;NO011
0850;NO011
0851;NO011
0852;NO011
0853;NO011
0854;NO011
0855;NO011
0857;NO011
0858;NO011
0860;NO011
0861;NO011
0862;NO011
0863;NO011
0864;NO011
0870;NO011
0871;NO011
0872;NO011
0873;NO011
0874;NO011
0875;NO011
0876;NO011
0877;NO011
0880;NO011
0881;NO011
0882;NO011
0883;NO011
0884;NO011
0890;NO011
0891;NO011
0950;NO011
0951;NO011
0952;NO011
0953;NO011
0955;NO011
0956;NO011
