CODE;NUTS_3
100001;RO316
100002;RO316
100003;RO316
100004;RO316
100005;RO316
100008;RO316
100009;RO316
100010;RO316
100011;RO316
100012;RO316
100015;RO316
100016;RO316
100017;RO316
100018;RO316
100019;RO316
100022;RO316
100023;RO316
100024;RO316
100025;RO316
100028;RO316
100029;RO316
100030;RO316
100031;RO316
100032;RO316
100035;RO316
100036;RO316
100037;RO316
100038;RO316
100039;RO316
100042;RO316
100043;RO316
100044;RO316
100045;RO316
100046;RO316
100049;RO316
100050;RO316
100051;RO316
100052;RO316
100053;RO316
100054;RO316
100057;RO316
100058;RO316
100059;RO316
100060;RO316
100061;RO316
100062;RO316
100065;RO316
100066;RO316
100067;RO316
100070;RO316
100071;RO316
100072;RO316
100073;RO316
100074;RO316
100075;RO316
100076;RO316
100077;RO316
100078;RO316
100079;RO316
100080;RO316
100081;RO316
100084;RO316
100085;RO316
100086;RO316
100087;RO316
100088;RO316
100091;RO316
100092;RO316
100093;RO316
100096;RO316
100097;RO316
100098;RO316
100099;RO316
100100;RO316
100101;RO316
100104;RO316
100105;RO316
100106;RO316
100107;RO316
10011;RO321
100110;RO316
100111;RO316
100112;RO316
100113;RO316
100114;RO316
100117;RO316
100118;RO316
100119;RO316
10012;RO321
100120;RO316
100121;RO316
100122;RO316
100125;RO316
100126;RO316
100127;RO316
100128;RO316
100129;RO316
10013;RO321
100132;RO316
100133;RO316
100134;RO316
100135;RO316
100136;RO316
100137;RO316
10014;RO321
100140;RO316
100141;RO316
100142;RO316
100143;RO316
100144;RO316
100145;RO316
100147;RO316
100148;RO316
100149;RO316
10015;RO321
100150;RO316
100151;RO316
100154;RO316
100155;RO316
100156;RO316
100157;RO316
100158;RO316
100159;RO316
10016;RO321
100162;RO316
100163;RO316
100164;RO316
100165;RO316
100166;RO316
100169;RO316
10017;RO321
100170;RO316
100171;RO316
100172;RO316
100173;RO316
100176;RO316
100177;RO316
100178;RO316
100179;RO316
10018;RO321
100180;RO316
100181;RO316
100184;RO316
100185;RO316
100186;RO316
100187;RO316
100188;RO316
100189;RO316
10019;RO321
100190;RO316
100192;RO316
100193;RO316
100194;RO316
100195;RO316
100196;RO316
100197;RO316
100200;RO316
100201;RO316
100202;RO316
100203;RO316
100204;RO316
100205;RO316
100208;RO316
100209;RO316
10021;RO321
100211;RO316
100212;RO316
100215;RO316
100216;RO316
100217;RO316
100218;RO316
10022;RO321
100221;RO316
100222;RO316
100223;RO316
100224;RO316
100225;RO316
100226;RO316
100229;RO316
10023;RO321
100230;RO316
100231;RO316
100232;RO316
100233;RO316
100236;RO316
100237;RO316
100238;RO316
100239;RO316
10024;RO321
100240;RO316
100241;RO316
100243;RO316
100244;RO316
100245;RO316
100246;RO316
100247;RO316
100248;RO316
10025;RO321
100251;RO316
100252;RO316
100253;RO316
100254;RO316
100255;RO316
100256;RO316
100259;RO316
10026;RO321
100260;RO316
100261;RO316
100262;RO316
100263;RO316
100264;RO316
100267;RO316
100268;RO316
100269;RO316
10027;RO321
100270;RO316
100271;RO316
100272;RO316
100275;RO316
100276;RO316
100277;RO316
100278;RO316
100279;RO316
10028;RO321
100280;RO316
100283;RO316
100284;RO316
100285;RO316
100286;RO316
100287;RO316
100288;RO316
100289;RO316
100291;RO316
100292;RO316
100293;RO316
100294;RO316
100295;RO316
100298;RO316
100299;RO316
100300;RO316
100301;RO316
100302;RO316
100304;RO316
100305;RO316
100306;RO316
100307;RO316
10031;RO321
100310;RO316
100311;RO316
100312;RO316
100315;RO316
100316;RO316
100317;RO316
100318;RO316
100319;RO316
10032;RO321
100320;RO316
100323;RO316
100324;RO316
100325;RO316
100326;RO316
100329;RO316
10033;RO321
100330;RO316
100331;RO316
100332;RO316
100335;RO316
100336;RO316
100337;RO316
100338;RO316
10034;RO321
100341;RO316
100342;RO316
100343;RO316
100344;RO316
100345;RO316
100346;RO316
100349;RO316
10035;RO321
100350;RO316
100351;RO316
