CODE;NUTS_3
1000;SI021
1210;SI021
1211;SI021
1215;SI021
1215;SI022
1216;SI021
1217;SI021
1218;SI021
1219;SI021
1221;SI021
1222;SI014
1222;SI015
1222;SI021
1223;SI021
1225;SI021
1230;SI021
1231;SI021
1233;SI021
1234;SI021
1235;SI021
1236;SI021
1241;SI021
1241;SI022
1242;SI021
1251;SI021
1252;SI015
1252;SI021
1260;SI021
1261;SI021
1262;SI021
1270;SI021
1272;SI021
1273;SI021
1274;SI021
1275;SI021
1276;SI021
1281;SI021
1282;SI015
1282;SI021
1290;SI021
1291;SI021
1292;SI021
1293;SI021
1294;SI021
1295;SI021
1296;SI021
1301;SI021
1303;SI017
1303;SI021
1310;SI017
1311;SI021
1312;SI021
1313;SI021
1314;SI021
1315;SI017
1315;SI021
1316;SI017
1317;SI017
1318;SI017
1319;SI017
1330;SI017
1331;SI017
1332;SI017
1336;SI017
1337;SI017
1338;SI017
1351;SI021
1352;SI021
1353;SI021
1354;SI021
1355;SI021
1355;SI022
1356;SI021
1357;SI021
1358;SI021
1360;SI021
1370;SI021
1372;SI021
1373;SI021
1373;SI023
1380;SI018
1381;SI018
1382;SI018
1384;SI018
1385;SI017
1385;SI018
1385;SI021
1386;SI018
1410;SI015
1411;SI015
1412;SI015
1413;SI015
1414;SI015
1414;SI021
1420;SI014
1420;SI015
1423;SI014
1423;SI015
1430;SI015
1431;SI015
1432;SI014
1432;SI016
1433;SI014
1433;SI015
1433;SI016
1434;SI014
1434;SI016
2000;SI012
2201;SI012
2204;SI012
2205;SI012
2206;SI012
2208;SI012
2211;SI012
2212;SI012
2213;SI011
2213;SI012
2214;SI012
2215;SI012
2221;SI012
2222;SI012
2223;SI012
2229;SI012
2230;SI012
2231;SI012
2232;SI012
2233;SI011
2233;SI012
2234;SI012
2235;SI012
2236;SI012
2241;SI012
2242;SI012
2250;SI012
2252;SI012
2253;SI012
2254;SI012
2255;SI012
2256;SI012
2257;SI012
2258;SI012
2259;SI011
2259;SI012
2270;SI012
2272;SI012
2273;SI012
2274;SI012
2275;SI011
2275;SI012
2276;SI012
2277;SI012
2281;SI012
2282;SI012
2283;SI012
2284;SI012
2285;SI012
2286;SI012
2287;SI012
2288;SI012
2289;SI012
2310;SI012
2311;SI012
2312;SI012
2313;SI012
2314;SI012
2315;SI012
2316;SI012
2317;SI012
2318;SI012
2319;SI012
2321;SI012
2322;SI012
2323;SI012
2324;SI012
2325;SI012
2326;SI012
2327;SI012
2331;SI012
2341;SI012
2342;SI012
2343;SI012
2344;SI012
2345;SI012
2351;SI012
2352;SI012
2352;SI013
2353;SI012
2353;SI013
2354;SI012
2360;SI013
2361;SI012
2361;SI013
2362;SI013
2363;SI012
2363;SI013
2364;SI013
2365;SI013
2366;SI013
